"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2011",12.871,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2012",12.934,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2013",12.701,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2014",13.035,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2015",13.261,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2016",13.581,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2017",13.8,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2000",9.953,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2001",9.596,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2002",9.388,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2003",9.493,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2004",9.715,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2005",9.907,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2006",9.761,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2007",9.281,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2008",8.024,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2009",6.76,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2010",8.373,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2011",8.195,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2012",8.686,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2013",9.443,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2014",9.732,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2015",9.933,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2016",9.767,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2017",9.782,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2000",13.768,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2001",13.348,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2002",13.632,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2003",13.715,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2004",13.419,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2005",13.332,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2006",13.074,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2007",12.96,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2008",12.965,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2009",13.284,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2010",13.777,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2011",13.741,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2012",14.161,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2013",14.728,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2014",14.626,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2015",14.555,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2016",14.343,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2017",13.904,
