LOCATION,Country,TIME,Value
PRT,Portugal,2017,113.9162025
,,,
,,,
,,,
,,,
PRT,Portugal,2018,123.2829729
,,,
,,,
,,,
,,,
,,,
,,,
ESP,Spain,2005,140.8844508
,,,
,,,
,,,
,,,
ESP,Spain,2006,154.5919786
,,,
,,,
,,,
,,,
ESP,Spain,2007,164.245987
,,,
,,,
,,,
,,,
ESP,Spain,2008,156.2975838
,,,
,,,
,,,
,,,
ESP,Spain,2009,147.3711098
,,,
,,,
,,,
,,,
ESP,Spain,2010,141.9646859
,,,
,,,
,,,
,,,
ESP,Spain,2011,128.1019397
,,,
,,,
,,,
,,,
ESP,Spain,2012,106.9942721
,,,
,,,
,,,
,,,
ESP,Spain,2013,96.27981711
,,,
,,,
,,,
,,,
ESP,Spain,2014,96.45541831
,,,
,,,
,,,
,,,
ESP,Spain,2015,100
,,,
,,,
,,,
,,,
ESP,Spain,2016,104.4499216
,,,
,,,
,,,
,,,
ESP,Spain,2017,109.18043
,,,
,,,
,,,
,,,
ESP,Spain,2018,114.8499848
,,,
,,,
,,,
,,,
,,,
,,,
ITA,Italy,2005,114.4250506
,,,
,,,
,,,
,,,
ITA,Italy,2006,118.8399711
,,,
,,,
,,,
,,,
ITA,Italy,2007,122.2068802
,,,
,,,
,,,
,,,
ITA,Italy,2008,121.3161005
,,,
,,,
,,,
,,,
ITA,Italy,2009,113.055643
,,,
,,,
,,,
,,,
ITA,Italy,2010,110.3706691
,,,
,,,
,,,
,,,
ITA,Italy,2011,110.0922328
,,,
,,,
,,,
,,,
ITA,Italy,2012,105.0084051
,,,
,,,
,,,
,,,
ITA,Italy,2013,96.92543649
,,,
,,,
,,,
,,,
ITA,Italy,2014,92.63480604
,,,
,,,
,,,
,,,
ITA,Italy,2015,88.99424023
,,,
,,,
,,,
,,,
ITA,Italy,2016,88.94951155
,,,
,,,
,,,
,,,
ITA,Italy,2017,87.82092234
,,,
,,,
,,,
,,,
ITA,Italy,2018,87.0022219
,,,
,,,
,,,
,,,
,,,
,,,
GRC,Greece,2005,117.0185218
,,,
,,,
,,,
,,,
GRC,Greece,2006,121.6463333
,,,
,,,
,,,
,,,
GRC,Greece,2007,121.4933368
,,,
,,,
,,,
,,,
GRC,Greece,2008,117.2544213
,,,
,,,
,,,
,,,
GRC,Greece,2009,110.4388147
,,,
,,,
,,,
,,,
GRC,Greece,2010,115.4756579
,,,
,,,
,,,
,,,
GRC,Greece,2011,120.0560025
,,,
,,,
,,,
,,,
GRC,Greece,2012,116.2288712
,,,
,,,
,,,
,,,
GRC,Greece,2013,112.7941217
,,,
,,,
,,,
,,,
GRC,Greece,2014,102.7232745
,,,
,,,
,,,
,,,
GRC,Greece,2015,100
,,,
,,,
,,,
,,,
GRC,Greece,2016,99.26103288
,,,
,,,
,,,
,,,
GRC,Greece,2017,96.68565641
,,,
,,,
,,,
,,,
GRC,Greece,2018,95.21530055
,,,
,,,
,,,
,,,
,,,
,,,
PRT,Portugal,2005,128.2539863
,,,
,,,
,,,
,,,
PRT,Portugal,2006,126.4918585
,,,
,,,
,,,
,,,
PRT,Portugal,2007,122.927042
,,,
,,,
,,,
,,,
PRT,Portugal,2008,112.032459
,,,
,,,
,,,
,,,
PRT,Portugal,2009,114.4814631
,,,
,,,
,,,
,,,
PRT,Portugal,2010,113.2828067
,,,
,,,
,,,
,,,
PRT,Portugal,2011,105.9154655
,,,
,,,
,,,
,,,
PRT,Portugal,2012,96.66906775
,,,
,,,
,,,
,,,
PRT,Portugal,2013,94.1181235
,,,
,,,
,,,
,,,
PRT,Portugal,2014,97.89524247
,,,
,,,
,,,
,,,
PRT,Portugal,2015,100
,,,
,,,
,,,
,,,
PRT,Portugal,2016,106.0614671
,,,
,,,
,,,
,,,
PRT,Portugal,2017,114.073086
,,,
,,,
,,,
,,,
PRT,Portugal,2018,124.1640466
,,,
,,,
,,,
,,,
,,,
,,,
PRT,Portugal,2005,105.156869
,,,
,,,
,,,
,,,
PRT,Portugal,2006,104.3636227
,,,
,,,
,,,
,,,
PRT,Portugal,2007,100.2751959
,,,
,,,
,,,
,,,
PRT,Portugal,2008,90.57083486
,,,
,,,
,,,
,,,
PRT,Portugal,2009,90.29723591
,,,
,,,
,,,
,,,
PRT,Portugal,2010,89.74036886
,,,
,,,
,,,
,,,
PRT,Portugal,2011,87.21332874
,,,
,,,
,,,
,,,
PRT,Portugal,2012,82.73941865
,,,
,,,
,,,
,,,
PRT,Portugal,2013,81.44214988
,,,
,,,
,,,
,,,
PRT,Portugal,2014,84.89108587
,,,
,,,
,,,
,,,
PRT,Portugal,2015,84.16726204
,,,
,,,
,,,
,,,
PRT,Portugal,2016,86.76005206
,,,
,,,
,,,
,,,
PRT,Portugal,2017,92.05238845
,,,
,,,
,,,
,,,
PRT,Portugal,2018,97.20250406
,,,
,,,
,,,
,,,
,,,
,,,
ESP,Spain,2005,141.4107263
,,,
,,,
,,,
,,,
ESP,Spain,2006,153.9303484
,,,
,,,
,,,
,,,
ESP,Spain,2007,162.004092
,,,
,,,
,,,
,,,
ESP,Spain,2008,153.2462743
,,,
,,,
,,,
,,,
ESP,Spain,2009,138.8109582
,,,
,,,
,,,
,,,
ESP,Spain,2010,134.8562745
,,,
,,,
,,,
,,,
ESP,Spain,2011,123.2769559
,,,
,,,
,,,
,,,
ESP,Spain,2012,104.4765822
,,,
,,,
,,,
,,,
ESP,Spain,2013,95.11523136
,,,
,,,
,,,
,,,
ESP,Spain,2014,96.07404641
,,,
,,,
,,,
,,,
ESP,Spain,2015,100
,,,
,,,
,,,
,,,
ESP,Spain,2016,104.712397
,,,
,,,
,,,
,,,
ESP,Spain,2017,110.7415426
,,,
,,,
,,,
,,,
ESP,Spain,2018,116.7142277
,,,
,,,
,,,
,,,
,,,
,,,
GRC,Greece,2005,156.2032266
,,,
,,,
,,,
,,,
GRC,Greece,2006,170.9696259
,,,
,,,
,,,
,,,
GRC,Greece,2007,175.1498892
,,,
,,,
,,,
,,,
GRC,Greece,2008,170.3779143
,,,
,,,
,,,
,,,
GRC,Greece,2009,161.4929855
,,,
,,,
,,,
,,,
GRC,Greece,2010,149.0313863
,,,
,,,
,,,
,,,
GRC,Greece,2011,137.6541154
,,,
,,,
,,,
,,,
GRC,Greece,2012,120.9215526
,,,
,,,
,,,
,,,
GRC,Greece,2013,109.6678727
,,,
,,,
,,,
,,,
GRC,Greece,2014,103.6519813
,,,
,,,
,,,
,,,
GRC,Greece,2015,100
,,,
,,,
,,,
,,,
GRC,Greece,2016,98.30491285
,,,
,,,
,,,
,,,
GRC,Greece,2017,96.74129485
,,,
,,,
,,,
,,,
GRC,Greece,2018,98.08089062
,,,
,,,
,,,
,,,
,,,
,,,
PRT,Portugal,2005,110.6227494
,,,
,,,
,,,
,,,
PRT,Portugal,2006,112.9544561
,,,
,,,
,,,
,,,
PRT,Portugal,2007,113.4678855
,,,
,,,
,,,
,,,
PRT,Portugal,2008,106.3082409
,,,
,,,
,,,
,,,
PRT,Portugal,2009,106.5375
,,,
,,,
,,,
,,,
PRT,Portugal,2010,107.3575
,,,
,,,
,,,
,,,
PRT,Portugal,2011,102.0925
,,,
,,,
,,,
,,,
PRT,Portugal,2012,94.8725
,,,
,,,
,,,
,,,
PRT,Portugal,2013,93.085
,,,
,,,
,,,
,,,
PRT,Portugal,2014,97.0375
,,,
,,,
,,,
,,,
PRT,Portugal,2015,100
,,,
,,,
,,,
,,,
PRT,Portugal,2016,107.115
,,,
,,,
,,,
,,,
PRT,Portugal,2017,117.015
,,,
,,,
,,,
,,,
PRT,Portugal,2018,129.0325
,,,
,,,
,,,
,,,
,,,
,,,
ESP,Spain,2005,138.0257665
,,,
,,,
,,,
,,,
ESP,Spain,2006,150.8311884
,,,
,,,
,,,
,,,
ESP,Spain,2007,160.6961872
,,,
,,,
,,,
,,,
ESP,Spain,2008,152.7962384
,,,
,,,
,,,
,,,
ESP,Spain,2009,144.7914449
,,,
,,,
,,,
,,,
ESP,Spain,2010,142.2403643
,,,
,,,
,,,
,,,
ESP,Spain,2011,130.7280338
,,,
,,,
,,,
,,,
ESP,Spain,2012,117.5109357
,,,
,,,
,,,
,,,
ESP,Spain,2013,106.4338587
,,,
,,,
,,,
,,,
ESP,Spain,2014,106.4983317
,,,
,,,
,,,
,,,
ESP,Spain,2015,106.0128507
,,,
,,,
,,,
,,,
ESP,Spain,2016,108.1445209
,,,
,,,
,,,
,,,
ESP,Spain,2017,111.8766726
,,,
,,,
,,,
,,,
ESP,Spain,2018,115.6683719
,,,
,,,
,,,
,,,
,,,
,,,
PRT,Portugal,2005,106.6318269
,,,
,,,
,,,
,,,
PRT,Portugal,2006,106.1907555
,,,
,,,
,,,
,,,
PRT,Portugal,2007,103.893011
,,,
,,,
,,,
,,,
PRT,Portugal,2008,94.48551829
,,,
,,,
,,,
,,,
PRT,Portugal,2009,92.18747327
,,,
,,,
,,,
,,,
PRT,Portugal,2010,90.99655095
,,,
,,,
,,,
,,,
PRT,Portugal,2011,85.73713177
,,,
,,,
,,,
,,,
PRT,Portugal,2012,78.1089689
,,,
,,,
,,,
,,,
PRT,Portugal,2013,75.68377677
,,,
,,,
,,,
,,,
PRT,Portugal,2014,75.55418283
,,,
,,,
,,,
,,,
PRT,Portugal,2015,77.00889324
,,,
,,,
,,,
,,,
PRT,Portugal,2016,81.1016153
,,,
,,,
,,,
,,,
PRT,Portugal,2017,87.72560674
,,,
,,,
,,,
,,,
PRT,Portugal,2018,94.93885301
,,,
,,,
,,,
,,,
,,,
,,,
SVN,Slovenia,2005,92.50825644
,,,
,,,
,,,
,,,
SVN,Slovenia,2006,95.4974458
,,,
,,,
,,,
,,,
SVN,Slovenia,2007,98.33997147
,,,
,,,
,,,
,,,
SVN,Slovenia,2008,103.8200211
,,,
,,,
,,,
,,,
SVN,Slovenia,2009,103.3191921
,,,
,,,
,,,
,,,
SVN,Slovenia,2010,101.8766803
,,,
,,,
,,,
,,,
SVN,Slovenia,2011,101.4883271
,,,
,,,
,,,
,,,
SVN,Slovenia,2012,99.83330364
,,,
,,,
,,,
,,,
SVN,Slovenia,2013,98.77580502
,,,
,,,
,,,
,,,
SVN,Slovenia,2014,98.05246663
,,,
,,,
,,,
,,,
SVN,Slovenia,2015,100
,,,
,,,
,,,
,,,
SVN,Slovenia,2016,101.6208532
,,,
,,,
,,,
,,,
SVN,Slovenia,2017,106.9633718
,,,
,,,
,,,
,,,
SVN,Slovenia,2018,113.6275761
,,,
,,,
,,,
,,,
SVN,Slovenia,2019,118.4830406
,,,
,,,
,,,
,,,
ITA,Italy,2005,111.2909914
,,,
,,,
,,,
,,,
ITA,Italy,2006,114.7602537
,,,
,,,
,,,
,,,
ITA,Italy,2007,117.2637874
,,,
,,,
,,,
,,,
ITA,Italy,2008,118.4509856
,,,
,,,
,,,
,,,
ITA,Italy,2009,117.9369558
,,,
,,,
,,,
,,,
ITA,Italy,2010,118.3040014
,,,
,,,
,,,
,,,
ITA,Italy,2011,117.4401157
,,,
,,,
,,,
,,,
ITA,Italy,2012,118.7063756
,,,
,,,
,,,
,,,
ITA,Italy,2013,111.0429777
,,,
,,,
,,,
,,,
ITA,Italy,2014,105.3353702
,,,
,,,
,,,
,,,
ITA,Italy,2015,100
,,,
,,,
,,,
,,,
ITA,Italy,2016,98.77071713
,,,
,,,
,,,
,,,
ITA,Italy,2017,95.54069333
,,,
,,,
,,,
,,,
ITA,Italy,2018,93.35954302
,,,
,,,
,,,
,,,
,,,
,,,
GRC,Greece,2005,109.2666403
,,,
,,,
,,,
,,,
GRC,Greece,2006,113.5878829
,,,
,,,
,,,
,,,
GRC,Greece,2007,113.4450217
,,,
,,,
,,,
,,,
GRC,Greece,2008,109.4869127
,,,
,,,
,,,
,,,
GRC,Greece,2009,103.1228054
,,,
,,,
,,,
,,,
GRC,Greece,2010,107.8259833
,,,
,,,
,,,
,,,
GRC,Greece,2011,112.1029034
,,,
,,,
,,,
,,,
GRC,Greece,2012,108.5293001
,,,
,,,
,,,
,,,
GRC,Greece,2013,105.3220853
,,,
,,,
,,,
,,,
GRC,Greece,2014,95.91838045
,,,
,,,
,,,
,,,
GRC,Greece,2015,93.37550899
,,,
,,,
,,,
,,,
GRC,Greece,2016,92.68549467
,,,
,,,
,,,
,,,
GRC,Greece,2017,90.28072379
,,,
,,,
,,,
,,,
GRC,Greece,2018,88.90777152
,,,
,,,
,,,
,,,
,,,
,,,
SVN,Slovenia,2007,131.3839031
,,,
,,,
,,,
,,,
SVN,Slovenia,2008,129.9399933
,,,
,,,
,,,
,,,
SVN,Slovenia,2009,118.7439068
,,,
,,,
,,,
,,,
SVN,Slovenia,2010,118.3869639
,,,
,,,
,,,
,,,
SVN,Slovenia,2011,119.4671698
,,,
,,,
,,,
,,,
SVN,Slovenia,2012,114.6009147
,,,
,,,
,,,
,,,
SVN,Slovenia,2013,108.6752084
,,,
,,,
,,,
,,,
SVN,Slovenia,2014,100.6959049
,,,
,,,
,,,
,,,
SVN,Slovenia,2015,100
,,,
,,,
,,,
,,,
SVN,Slovenia,2016,98.79971755
,,,
,,,
,,,
,,,
SVN,Slovenia,2017,101.6638489
,,,
,,,
,,,
,,,
SVN,Slovenia,2018,105.5759222
,,,
,,,
,,,
,,,
,,,
,,,
ESP,Spain,2005,148.3593645
,,,
,,,
,,,
,,,
ESP,Spain,2006,161.4941756
,,,
,,,
,,,
,,,
ESP,Spain,2007,169.9646466
,,,
,,,
,,,
,,,
ESP,Spain,2008,160.7764874
,,,
,,,
,,,
,,,
ESP,Spain,2009,145.631849
,,,
,,,
,,,
,,,
ESP,Spain,2010,141.4828401
,,,
,,,
,,,
,,,
ESP,Spain,2011,129.3345371
,,,
,,,
,,,
,,,
ESP,Spain,2012,109.610351
,,,
,,,
,,,
,,,
ESP,Spain,2013,99.78900218
,,,
,,,
,,,
,,,
ESP,Spain,2014,100.7949315
,,,
,,,
,,,
,,,
ESP,Spain,2015,104.9137985
,,,
,,,
,,,
,,,
ESP,Spain,2016,109.8577532
,,,
,,,
,,,
,,,
ESP,Spain,2017,116.1831589
,,,
,,,
,,,
,,,
ESP,Spain,2018,122.4493297
,,,
,,,
,,,
,,,
,,,
,,,
GRC,Greece,2005,135.215092
,,,
,,,
,,,
,,,
GRC,Greece,2006,146.3816667
,,,
,,,
,,,
,,,
GRC,Greece,2007,148.714326
,,,
,,,
,,,
,,,
GRC,Greece,2008,145.2571318
,,,
,,,
,,,
,,,
GRC,Greece,2009,134.1533061
,,,
,,,
,,,
,,,
GRC,Greece,2010,125.2286584
,,,
,,,
,,,
,,,
GRC,Greece,2011,117.3230159
,,,
,,,
,,,
,,,
GRC,Greece,2012,105.6981865
,,,
,,,
,,,
,,,
GRC,Greece,2013,101.0421122
,,,
,,,
,,,
,,,
GRC,Greece,2014,100.7084429
,,,
,,,
,,,
,,,
GRC,Greece,2015,100
,,,
,,,
,,,
,,,
GRC,Greece,2016,100.2123118
,,,
,,,
,,,
,,,
GRC,Greece,2017,101.3872857
,,,
,,,
,,,
,,,
GRC,Greece,2018,106.5316514
,,,
,,,
,,,
,,,
,,,
,,,
ITA,Italy,2005,84.16664677
,,,
,,,
,,,
,,,
ITA,Italy,2006,86.25681337
,,,
,,,
,,,
,,,
ITA,Italy,2007,88.20699607
,,,
,,,
,,,
,,,
ITA,Italy,2008,90.37439653
,,,
,,,
,,,
,,,
ITA,Italy,2009,93.40586341
,,,
,,,
,,,
,,,
ITA,Italy,2010,95.22570896
,,,
,,,
,,,
,,,
ITA,Italy,2011,96.762157
,,,
,,,
,,,
,,,
ITA,Italy,2012,98.87310695
,,,
,,,
,,,
,,,
ITA,Italy,2013,100.1745786
,,,
,,,
,,,
,,,
ITA,Italy,2014,99.86509071
,,,
,,,
,,,
,,,
ITA,Italy,2015,100
,,,
,,,
,,,
,,,
ITA,Italy,2016,100.3003637
,,,
,,,
,,,
,,,
ITA,Italy,2017,100.5003478
,,,
,,,
,,,
,,,
ITA,Italy,2018,100.8836424
,,,
,,,
,,,
,,,
ITA,Italy,2019,101.1502879
,,,
,,,
,,,
,,,
PRT,Portugal,2005,79.89009
,,,
,,,
,,,
,,,
PRT,Portugal,2006,81.9191475
,,,
,,,
,,,
,,,
PRT,Portugal,2007,84.1190075
,,,
,,,
,,,
,,,
PRT,Portugal,2008,86.6675875
,,,
,,,
,,,
,,,
PRT,Portugal,2009,89.00076
,,,
,,,
,,,
,,,
PRT,Portugal,2010,90.8615
,,,
,,,
,,,
,,,
PRT,Portugal,2011,91.71321
,,,
,,,
,,,
,,,
PRT,Portugal,2012,93.5516525
,,,
,,,
,,,
,,,
PRT,Portugal,2013,94.7166775
,,,
,,,
,,,
,,,
PRT,Portugal,2014,98.9102025
,,,
,,,
,,,
,,,
PRT,Portugal,2015,100
,,,
,,,
,,,
,,,
PRT,Portugal,2016,101.70465
,,,
,,,
,,,
,,,
PRT,Portugal,2017,102.71635
,,,
,,,
,,,
,,,
PRT,Portugal,2018,104.656925
,,,
,,,
,,,
,,,
PRT,Portugal,2019,107.94145
,,,
,,,
,,,
,,,
ESP,Spain,2005,119.2721354
,,,
,,,
,,,
,,,
ESP,Spain,2006,135.5008875
,,,
,,,
,,,
,,,
ESP,Spain,2007,148.7912198
,,,
,,,
,,,
,,,
ESP,Spain,2008,146.6661667
,,,
,,,
,,,
,,,
ESP,Spain,2009,136.9759244
,,,
,,,
,,,
,,,
ESP,Spain,2010,134.5558639
,,,
,,,
,,,
,,,
ESP,Spain,2011,124.2706068
,,,
,,,
,,,
,,,
ESP,Spain,2012,105.9051476
,,,
,,,
,,,
,,,
ESP,Spain,2013,96.239906
,,,
,,,
,,,
,,,
ESP,Spain,2014,96.5399135
,,,
,,,
,,,
,,,
ESP,Spain,2015,100
,,,
,,,
,,,
,,,
ESP,Spain,2016,104.6226156
,,,
,,,
,,,
,,,
ESP,Spain,2017,111.1052776
,,,
,,,
,,,
,,,
ESP,Spain,2018,118.5804645
,,,
,,,
,,,
,,,
,,,
,,,
GRC,Greece,2005,115.4213965
,,,
,,,
,,,
,,,
GRC,Greece,2006,124.9533328
,,,
,,,
,,,
,,,
GRC,Greece,2007,126.9445217
,,,
,,,
,,,
,,,
GRC,Greece,2008,123.9934149
,,,
,,,
,,,
,,,
GRC,Greece,2009,114.5150419
,,,
,,,
,,,
,,,
GRC,Greece,2010,106.8968443
,,,
,,,
,,,
,,,
GRC,Greece,2011,100.148483
,,,
,,,
,,,
,,,
GRC,Greece,2012,90.22537431
,,,
,,,
,,,
,,,
GRC,Greece,2013,86.2508875
,,,
,,,
,,,
,,,
GRC,Greece,2014,85.96606298
,,,
,,,
,,,
,,,
GRC,Greece,2015,85.36132674
,,,
,,,
,,,
,,,
GRC,Greece,2016,85.54255893
,,,
,,,
,,,
,,,
GRC,Greece,2017,86.54553219
,,,
,,,
,,,
,,,
GRC,Greece,2018,90.93683106
,,,
,,,
,,,
,,,
,,,
,,,
ITA,Italy,2005,128.5757936
,,,
,,,
,,,
,,,
ITA,Italy,2006,133.5366994
,,,
,,,
,,,
,,,
ITA,Italy,2007,137.3199883
,,,
,,,
,,,
,,,
ITA,Italy,2008,136.3190474
,,,
,,,
,,,
,,,
ITA,Italy,2009,127.0370337
,,,
,,,
,,,
,,,
ITA,Italy,2010,124.0200139
,,,
,,,
,,,
,,,
ITA,Italy,2011,123.7071439
,,,
,,,
,,,
,,,
ITA,Italy,2012,117.9946082
,,,
,,,
,,,
,,,
ITA,Italy,2013,108.9120332
,,,
,,,
,,,
,,,
ITA,Italy,2014,104.0907881
,,,
,,,
,,,
,,,
ITA,Italy,2015,100
,,,
,,,
,,,
,,,
ITA,Italy,2016,99.9497398
,,,
,,,
,,,
,,,
ITA,Italy,2017,98.68157996
,,,
,,,
,,,
,,,
ITA,Italy,2018,97.7616323
,,,
,,,
,,,
,,,
,,,
,,,
SVN,Slovenia,2007,122.8393259
,,,
,,,
,,,
,,,
SVN,Slovenia,2008,124.5462719
,,,
,,,
,,,
,,,
SVN,Slovenia,2009,113.2805395
,,,
,,,
,,,
,,,
SVN,Slovenia,2010,115.0340864
,,,
,,,
,,,
,,,
SVN,Slovenia,2011,118.6055165
,,,
,,,
,,,
,,,
SVN,Slovenia,2012,112.2585453
,,,
,,,
,,,
,,,
SVN,Slovenia,2013,107.5093216
,,,
,,,
,,,
,,,
SVN,Slovenia,2014,101.1679252
,,,
,,,
,,,
,,,
SVN,Slovenia,2015,100
,,,
,,,
,,,
,,,
SVN,Slovenia,2016,101.5873588
,,,
,,,
,,,
,,,
SVN,Slovenia,2017,104.2691965
,,,
,,,
,,,
,,,
SVN,Slovenia,2018,107.7508053
,,,
,,,
,,,
,,,
,,,
,,,
PRT,Portugal,2005,124.9379705
,,,
,,,
,,,
,,,
PRT,Portugal,2006,123.9955063
,,,
,,,
,,,
,,,
PRT,Portugal,2007,119.1380038
,,,
,,,
,,,
,,,
PRT,Portugal,2008,107.6081515
,,,
,,,
,,,
,,,
PRT,Portugal,2009,107.2830857
,,,
,,,
,,,
,,,
PRT,Portugal,2010,106.6214662
,,,
,,,
,,,
,,,
PRT,Portugal,2011,103.6190635
,,,
,,,
,,,
,,,
PRT,Portugal,2012,98.3035644
,,,
,,,
,,,
,,,
PRT,Portugal,2013,96.76226588
,,,
,,,
,,,
,,,
PRT,Portugal,2014,100.8599826
,,,
,,,
,,,
,,,
PRT,Portugal,2015,100
,,,
,,,
,,,
,,,
PRT,Portugal,2016,103.0805208
,,,
,,,
,,,
,,,
PRT,Portugal,2017,109.3684007
,,,
,,,
,,,
,,,
PRT,Portugal,2018,115.4873067
,,,
,,,
,,,
,,,
,,,
,,,
ESP,Spain,2005,84.32129976
,,,
,,,
,,,
,,,
ESP,Spain,2006,87.9971504
,,,
,,,
,,,
,,,
ESP,Spain,2007,91.84143857
,,,
,,,
,,,
,,,
ESP,Spain,2008,95.73984675
,,,
,,,
,,,
,,,
ESP,Spain,2009,98.68242477
,,,
,,,
,,,
,,,
ESP,Spain,2010,99.77870996
,,,
,,,
,,,
,,,
ESP,Spain,2011,100.8140676
,,,
,,,
,,,
,,,
ESP,Spain,2012,101.3681427
,,,
,,,
,,,
,,,
ESP,Spain,2013,101.1797927
,,,
,,,
,,,
,,,
ESP,Spain,2014,100.4842676
,,,
,,,
,,,
,,,
ESP,Spain,2015,100
,,,
,,,
,,,
,,,
ESP,Spain,2016,99.91209498
,,,
,,,
,,,
,,,
ESP,Spain,2017,100.3223176
,,,
,,,
,,,
,,,
ESP,Spain,2018,101.5902178
,,,
,,,
,,,
,,,
ESP,Spain,2019,103.1404972
,,,
,,,
,,,
,,,
ITA,Italy,2005,112.2108699
,,,
,,,
,,,
,,,
ITA,Italy,2006,115.7088075
,,,
,,,
,,,
,,,
ITA,Italy,2007,118.2330342
,,,
,,,
,,,
,,,
ITA,Italy,2008,119.4300452
,,,
,,,
,,,
,,,
ITA,Italy,2009,118.9117667
,,,
,,,
,,,
,,,
ITA,Italy,2010,119.2818461
,,,
,,,
,,,
,,,
ITA,Italy,2011,118.41082
,,,
,,,
,,,
,,,
ITA,Italy,2012,119.6875462
,,,
,,,
,,,
,,,
ITA,Italy,2013,111.9608062
,,,
,,,
,,,
,,,
ITA,Italy,2014,106.2060223
,,,
,,,
,,,
,,,
ITA,Italy,2015,100.8265525
,,,
,,,
,,,
,,,
ITA,Italy,2016,99.58710898
,,,
,,,
,,,
,,,
ITA,Italy,2017,96.33038734
,,,
,,,
,,,
,,,
ITA,Italy,2018,94.13120868
,,,
,,,
,,,
,,,
,,,
,,,
ITA,Italy,2005,126.9983708
,,,
,,,
,,,
,,,
ITA,Italy,2006,131.6336568
,,,
,,,
,,,
,,,
ITA,Italy,2007,135.3885828
,,,
,,,
,,,
,,,
ITA,Italy,2008,133.409675
,,,
,,,
,,,
,,,
ITA,Italy,2009,129.2391927
,,,
,,,
,,,
,,,
ITA,Italy,2010,126.6322775
,,,
,,,
,,,
,,,
ITA,Italy,2011,124.7059424
,,,
,,,
,,,
,,,
ITA,Italy,2012,118.4261761
,,,
,,,
,,,
,,,
ITA,Italy,2013,109.5365773
,,,
,,,
,,,
,,,
ITA,Italy,2014,104.1095442
,,,
,,,
,,,
,,,
ITA,Italy,2015,100
,,,
,,,
,,,
,,,
